NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Claudia,N/A,596,N/A,N/A
Clay,723,N/A,615,N/A
Clayton,261,N/A,286,N/A
Clementine,N/A,N/A,N/A,558
Cleo,N/A,N/A,N/A,664
Clinton,906,N/A,N/A,N/A
Clover,N/A,N/A,N/A,755
Clyde,N/A,N/A,688,N/A
Cody,188,N/A,302,N/A
Cohen,335,N/A,277,N/A
Colby,341,N/A,597,N/A
Cole,102,N/A,143,N/A
Coleman,840,N/A,N/A,N/A
Coleson,N/A,N/A,951,N/A
Colette,N/A,659,N/A,448
Colin,123,N/A,293,N/A
Collin,196,N/A,472,N/A
Collins,N/A,960,N/A,247
Colson,N/A,N/A,316,N/A
Colt,328,N/A,240,N/A
Colten,405,N/A,920,N/A
Colter,N/A,N/A,430,N/A
Colton,65,N/A,91,N/A
Conner,201,N/A,635,N/A
Connor,59,N/A,118,N/A
Conor,575,N/A,573,N/A
Conrad,738,N/A,574,N/A
Cooper,83,N/A,53,N/A
Cora,N/A,155,N/A,75
Coraline,N/A,823,N/A,676
Corbin,221,N/A,428,N/A
Corey,351,N/A,633,N/A
Corinne,N/A,765,N/A,N/A
Cory,650,N/A,N/A,N/A
Courtney,N/A,481,N/A,N/A
Craig,781,N/A,N/A,N/A
Creed,N/A,N/A,651,N/A
Crew,768,N/A,254,N/A
Cristian,217,N/A,322,N/A
Cristina,N/A,953,N/A,N/A
Cristopher,784,N/A,N/A,N/A
Crosby,670,N/A,N/A,N/A
Crue,N/A,N/A,868,N/A
Cruz,284,N/A,317,N/A
Crystal,N/A,384,N/A,N/A
Cullen,551,N/A,908,N/A
Curtis,442,N/A,825,N/A
Cynthia,N/A,419,N/A,888
Cyrus,471,N/A,326,N/A
Dahlia,N/A,521,N/A,280
Daisy,N/A,172,N/A,125
Dakari,N/A,N/A,786,N/A
Dakota,334,306,349,258
Daleyza,N/A,N/A,N/A,423
Dalia,N/A,N/A,N/A,827
Dalilah,N/A,990,N/A,N/A
Dallas,322,901,253,645
Dalton,285,N/A,516,N/A
Damari,868,N/A,876,N/A
Damarion,895,N/A,N/A,N/A
Damian,97,N/A,108,N/A
Damien,218,N/A,304,N/A
Damion,939,N/A,N/A,N/A
Damir,N/A,N/A,887,N/A
Damon,406,N/A,424,N/A
Dana,N/A,627,N/A,N/A
Dane,477,N/A,875,N/A
Dangelo,1000,N/A,940,N/A
Dani,N/A,N/A,N/A,674
Danica,N/A,511,N/A,N/A
Daniel,11,N/A,14,N/A
Daniela,N/A,191,N/A,255
Daniella,N/A,309,N/A,449
Danielle,N/A,232,N/A,474
Danika,N/A,683,N/A,N/A
Danna,N/A,490,N/A,353
Danny,384,N/A,611,N/A
Dante,278,N/A,311,N/A
Daphne,N/A,420,N/A,278
Darian,737,N/A,974,N/A
Dariel,945,N/A,435,N/A
Darien,959,N/A,N/A,N/A
Dario,922,N/A,675,N/A
Darius,403,N/A,678,N/A
Darnell,982,N/A,N/A,N/A
Darrell,787,N/A,N/A,N/A
